time,open,high,low,close,volume
2020-06-04,3.33,3.33,3.33,3.33,0
2020-06-05,3.4,3.4,3.4,3.4,600
2020-06-08,3.14,3.4,3.14,3.4,200
2020-06-09,3.4,3.4,3.21,3.4,3100
2020-06-10,3.27,3.27,3.27,3.27,100
2020-06-11,3.27,3.4,2.95,3.27,37200
2020-06-12,3.27,3.27,3.27,3.27,350
2020-06-15,3.27,3.27,3.27,3.27,1700
2020-06-16,3.27,3.27,3.27,3.27,600
2020-06-17,3.27,3.27,3.01,3.21,15400
2020-06-18,3.33,3.4,3.33,3.4,2130
2020-06-19,3.4,3.4,3.4,3.4,4700
2020-06-22,3.14,3.46,3.14,3.46,6400
2020-06-23,3.4,3.46,3.4,3.46,10600
2020-06-24,3.46,3.59,3.4,3.59,22500
2020-06-25,3.46,3.46,3.46,3.46,6150
2020-06-26,3.46,3.46,3.46,3.46,3730
2020-06-29,3.33,3.46,3.33,3.46,2400
2020-06-30,3.46,3.46,3.46,3.46,1300
2020-07-01,3.46,3.46,3.46,3.46,0
2020-07-02,3.46,3.46,3.46,3.46,100
2020-07-03,3.46,3.46,3.46,3.46,80
2020-07-06,3.46,3.46,3.46,3.46,0
2020-07-07,3.46,3.46,3.46,3.46,10900
2020-07-08,3.46,3.46,3.46,3.46,100
2020-07-09,3.46,3.46,3.46,3.46,100
2020-07-10,3.59,3.59,3.46,3.53,7200
2020-07-13,3.59,3.59,3.59,3.59,13000
2020-07-14,3.59,3.72,3.53,3.72,13800
2020-07-15,3.72,3.72,3.59,3.72,2200
2020-07-16,3.72,3.72,3.65,3.65,1200
2020-07-17,3.65,3.65,3.65,3.65,1400
2020-07-20,3.72,3.72,3.72,3.72,15445
2020-07-21,3.72,3.78,3.65,3.72,17700
2020-07-22,3.72,3.78,3.72,3.78,39530
2020-07-23,3.78,3.85,3.78,3.85,107000
2020-07-24,3.85,3.91,3.78,3.85,68840
2020-07-27,3.85,3.85,3.78,3.85,46535
2020-07-28,3.78,3.91,3.78,3.85,25400
2020-07-29,3.85,3.85,3.59,3.59,14820
2020-07-30,3.59,3.85,3.59,3.72,19600
2020-07-31,3.72,3.85,3.72,3.85,1100
2020-08-03,3.91,3.98,3.85,3.91,42610
2020-08-04,4.06,4.06,3.76,3.91,15000
2020-08-05,3.84,3.84,3.54,3.84,32600
2020-08-06,3.69,3.84,3.69,3.76,4100
2020-08-07,3.76,4.06,3.76,3.98,13500
2020-08-10,3.76,3.84,3.76,3.76,7600
2020-08-11,3.62,3.98,3.62,3.76,3900
2020-08-12,3.84,3.84,3.76,3.76,800
2020-08-13,3.76,3.76,3.76,3.76,19500
2020-08-14,3.84,3.84,3.76,3.84,3500
2020-08-17,3.84,3.84,3.76,3.84,16000
2020-08-18,3.84,3.84,3.84,3.84,1220
2020-08-19,3.69,3.84,3.69,3.84,5160
2020-08-20,3.84,3.84,3.84,3.84,230
2020-08-21,4.06,4.06,3.91,3.91,3800
2020-08-24,3.91,3.91,3.91,3.91,3340
2020-08-25,3.91,3.91,3.84,3.84,18000
2020-08-26,3.91,3.98,3.84,3.91,19601
2020-08-27,3.91,3.98,3.84,3.84,1154
2020-08-28,3.84,3.98,3.84,3.98,11100
2020-08-31,3.98,3.98,3.98,3.98,1600
2020-09-01,3.91,3.91,3.91,3.91,4100
2020-09-03,3.91,4.06,3.91,3.98,12950
2020-09-04,3.98,4.28,3.98,4.28,97259
2020-09-07,4.21,4.43,4.21,4.43,20220
2020-09-08,4.65,4.87,4.65,4.87,63544
2020-09-09,5.31,5.31,5.09,5.24,168919
2020-09-10,5.17,5.39,5.09,5.17,39700
2020-09-11,5.17,5.17,4.65,5.17,29836
2020-09-14,5.09,5.17,4.94,5.09,38110
2020-09-15,5.09,5.17,5.09,5.09,21600
2020-09-16,5.09,5.09,4.72,5.02,22200
2020-09-17,5.02,5.09,4.87,5.02,8800
2020-09-18,4.94,4.94,4.72,4.94,19800
2020-09-21,4.72,4.87,4.72,4.8,14810
2020-09-22,4.94,5.24,4.94,5.17,20505
2020-09-23,5.31,5.68,5.31,5.61,88478
2020-09-24,5.9,5.9,5.61,5.68,600
2020-09-25,5.53,5.83,5.31,5.83,10051
2020-09-28,5.46,5.83,5.39,5.83,1100
2020-09-29,5.46,5.9,5.31,5.53,13700
2020-09-30,5.61,5.61,5.53,5.53,1600
2020-10-01,5.83,5.83,5.02,5.24,43900
2020-10-02,5.02,5.17,4.87,5.17,2200
2020-10-05,5.17,5.17,4.8,5.09,13800
2020-10-06,4.87,5.02,4.65,5.02,12300
2020-10-07,5.09,5.09,5.09,5.09,100
2020-10-08,5.09,5.09,5.09,5.09,0
2020-10-09,4.87,5.02,4.72,4.72,4800
2020-10-12,4.72,4.72,4.72,4.72,5100
2020-10-13,4.72,4.94,4.72,4.94,4400
2020-10-14,4.8,4.8,4.8,4.8,100
2020-10-15,4.72,4.8,4.72,4.8,300
2020-10-16,4.58,4.87,4.5,4.5,3500
2020-10-19,4.28,4.87,4.28,4.87,400
2020-10-20,4.72,4.87,4.72,4.87,8000
2020-10-21,4.87,5.17,4.87,5.17,19100
2020-10-22,5.24,5.31,5.24,5.31,300
2020-10-23,5.31,5.46,4.94,5.31,23200
2020-10-26,5.09,5.09,4.94,4.94,12900
2020-10-27,4.94,5.02,4.94,4.94,8200
2020-10-28,4.94,5.17,4.94,5.17,16700
2020-10-29,5.09,5.09,5.09,5.09,100
2020-10-30,5.09,5.09,5.09,5.09,200
2020-11-02,5.09,5.09,5.09,5.09,100
2020-11-03,5.09,5.09,5.09,5.09,100
2020-11-04,5.09,5.09,5.09,5.09,0
2020-11-05,5.09,5.09,4.65,4.8,15200
2020-11-06,5.09,5.09,4.87,4.87,9400
2020-11-09,4.87,5.02,4.87,4.87,3100
2020-11-10,4.5,5.02,4.5,4.87,9200
2020-11-11,4.87,4.94,4.8,4.8,4900
2020-11-12,4.8,4.94,4.8,4.94,9100
2020-11-13,4.94,5.02,4.8,5.02,32100
2020-11-16,5.02,5.02,4.8,4.94,4100
2020-11-17,4.94,5.17,4.94,5.17,10500
2020-11-18,4.87,4.87,4.65,4.65,83200
2020-11-19,5.02,5.09,5.02,5.02,2200
2020-11-20,4.87,4.87,4.72,4.72,3400
2020-11-23,5.09,5.17,4.94,5.02,11700
2020-11-24,5.02,5.02,5.02,5.02,2000
2020-11-25,5.02,5.17,4.94,5.09,12200
2020-11-26,5.09,5.09,5.09,5.09,0
2020-11-27,4.87,5.17,4.87,5.17,1400
2020-11-30,5.09,5.17,4.94,5.09,19500
2020-12-01,5.17,5.17,5.17,5.17,100
2020-12-02,5.09,5.31,5.09,5.17,5700
2020-12-03,5.09,5.31,4.94,5.31,5100
2020-12-04,5.02,5.02,5.02,5.02,200
2020-12-07,5.09,5.17,5.02,5.09,18300
2020-12-08,5.02,5.09,5.02,5.09,1700
2020-12-09,5.09,5.17,5.09,5.17,7000
2020-12-10,5.24,5.24,5.24,5.24,100
2020-12-11,5.24,5.24,5.09,5.09,8600
2020-12-14,5.17,5.17,5.09,5.09,3500
2020-12-15,5.09,5.17,5.09,5.09,7800
2020-12-16,5.24,5.39,5.24,5.24,22100
2020-12-17,5.31,5.46,5.24,5.39,13300
2020-12-18,5.46,5.46,5.39,5.46,14100
2020-12-21,5.46,5.46,5.46,5.46,14900
2020-12-22,5.53,5.83,5.31,5.76,60800
2020-12-23,5.83,6.2,5.76,5.76,88900
2020-12-24,5.76,5.98,5.76,5.98,2510
2020-12-25,6.05,6.35,6.05,6.27,6300
2020-12-28,6.27,6.27,6.12,6.12,33900
2020-12-29,6.12,6.27,6.12,6.2,31800
2020-12-30,6.2,6.27,5.83,6.12,29100
2020-12-31,6.05,6.12,6.05,6.12,5500
2021-01-04,6.12,6.12,5.83,5.98,38800
2021-01-05,5.98,6.12,5.83,6.12,14200
2021-01-06,6.12,6.12,5.9,6.12,24700
2021-01-07,5.98,6.12,5.9,6.12,24000
2021-01-08,6.12,6.27,6.05,6.27,94501
2021-01-11,6.72,6.72,6.05,6.57,62600
2021-01-12,6.42,6.72,5.98,6.64,30520
2021-01-13,6.64,6.64,6.35,6.57,34303
2021-01-14,6.49,6.49,6.12,6.42,27900
2021-01-15,6.42,6.72,6.35,6.64,72530
2021-01-18,6.72,6.72,6.27,6.57,30000
2021-01-19,6.57,6.64,6.27,6.49,27303
2021-01-20,6.42,6.42,6.2,6.35,7700
2021-01-21,6.2,6.86,6.2,6.86,55900
2021-01-22,6.86,6.86,6.57,6.72,34800
2021-01-25,6.72,6.72,6.49,6.72,4600
2021-01-26,6.64,6.72,6.57,6.72,121600
2021-01-27,6.72,6.72,6.35,6.49,12100
2021-01-28,5.9,5.9,5.9,5.9,3800
2021-01-29,5.9,6.27,5.9,6.27,36300
2021-02-01,5.98,5.98,5.83,5.83,8000
2021-02-02,5.83,6.35,5.68,6.27,2400
2021-02-03,6.05,6.35,5.9,6.27,17400
2021-02-04,5.98,6.05,5.9,5.9,6500
2021-02-05,5.98,6.05,5.9,5.9,5300
2021-02-08,5.68,5.9,5.61,5.68,29100
2021-02-09,5.68,5.9,5.68,5.83,11500
2021-02-17,6.12,6.12,5.9,5.98,22000
2021-02-18,5.98,6.05,5.98,6.05,8200
2021-02-19,6.05,6.12,5.98,5.98,28660
2021-02-22,5.98,6.12,5.98,6.05,5400
2021-02-23,6.05,6.05,6.05,6.05,4400
2021-02-24,6.05,6.27,5.98,6.05,29300
2021-02-25,6.05,6.12,6.05,6.05,29200
2021-02-26,6.05,6.2,5.98,6.12,15600
2021-03-01,6.2,6.2,6.12,6.2,53400
2021-03-02,6.2,6.27,6.2,6.27,37081
2021-03-03,6.35,6.86,6.27,6.86,105100
2021-03-04,6.64,7.53,6.64,7.53,82900
2021-03-05,7.53,8.12,7.53,8.12,51392
2021-03-08,8.19,8.19,7.31,7.82,146900
2021-03-09,7.23,7.75,7.16,7.38,20700
2021-03-10,7.23,7.53,7.16,7.38,18192
2021-03-11,7.53,7.53,7.23,7.31,32400
2021-03-12,7.31,7.38,7.08,7.38,39300
2021-03-15,7.38,7.38,7.23,7.38,40410
2021-03-16,7.31,7.38,7.23,7.38,10700
2021-03-17,7.23,7.38,7.16,7.23,9600
2021-03-18,7.23,7.23,7.01,7.16,22322
2021-03-19,7.01,7.08,7.01,7.08,11600
2021-03-22,7.08,7.08,6.86,7.01,50800
2021-03-23,6.86,6.94,6.79,6.94,56000
2021-03-24,6.79,6.86,6.79,6.86,23006
2021-03-25,6.86,7.01,6.49,6.79,32400
2021-03-26,6.86,6.86,6.64,6.64,11800
2021-03-29,6.64,6.94,6.64,6.79,10703
2021-03-30,6.79,6.86,6.79,6.79,13200
2021-03-31,6.79,6.86,6.79,6.86,7203
2021-04-01,6.86,6.94,6.79,6.94,7200
2021-04-02,6.94,7.01,6.72,6.86,47400
2021-04-05,6.94,7.01,6.94,6.94,6500
2021-04-06,6.79,6.94,6.72,6.86,13300
2021-04-07,6.79,7.01,6.72,7.01,47000
2021-04-08,7.01,7.16,6.94,7.16,27503
2021-04-09,7.16,7.23,7.08,7.23,16703
2021-04-12,7.23,7.23,6.94,6.94,35803
2021-04-13,6.94,6.94,6.86,6.86,35803
2021-04-14,6.86,7.08,6.86,7.08,22300
2021-04-15,7.08,7.08,7.01,7.01,20200
2021-04-16,7.16,7.16,6.64,6.72,17600
2021-04-19,6.72,6.72,6.72,6.72,4400
2021-04-20,6.79,6.86,6.79,6.79,12100
2021-04-22,6.79,6.79,6.72,6.79,4700
2021-04-23,6.72,6.79,6.64,6.79,5430
2021-04-26,6.79,6.79,6.79,6.79,0
2021-04-27,6.72,6.72,6.64,6.64,9600
2021-04-28,6.64,6.64,6.57,6.57,6300
2021-04-29,6.79,6.79,6.79,6.79,100
2021-05-04,6.57,6.64,6.57,6.64,7200
2021-05-05,6.64,6.72,6.64,6.64,6000
2021-05-06,6.64,6.64,6.49,6.64,7000
2021-05-07,6.64,6.64,6.57,6.57,4500
2021-05-10,6.49,6.49,6.42,6.49,6022
2021-05-11,6.64,6.64,6.57,6.57,2200
2021-05-12,6.64,6.72,6.64,6.64,3500
2021-05-13,6.64,6.86,6.64,6.64,4500
2021-05-14,6.64,6.72,6.64,6.64,1200
2021-05-17,6.72,6.72,6.64,6.64,1000
2021-05-18,6.57,6.64,6.49,6.57,2800
2021-05-19,6.57,6.57,6.57,6.57,3750
2021-05-20,6.49,6.57,6.49,6.49,5700
2021-05-21,6.49,6.57,6.49,6.57,400
2021-05-24,6.57,6.86,6.57,6.72,12224
